Year,Date,Air_T,Water_T,S
2007,01.06.2007 0:00,5.8,6.8,23
2007,01.06.2007 12:00,8.4,7.8,20
2007,01.06.2007 18:00,10,11.6,19
2007,02.06.2007 0:00,6.4,9.2,18
2007,02.06.2007 12:00,14.8,11.8,18
2007,02.06.2007 18:00,17.8,11.2,20
2007,03.06.2007 0:00,9.2,9,20
2007,03.06.2007 12:00,11.2,10.2,18
2007,03.06.2007 18:00,22.6,9,21
2007,04.06.2007 0:00,11.6,8.2,23
2007,04.06.2007 12:00,15.8,9.2,22
2007,04.06.2007 18:00,20.2,10.8,20
2007,05.06.2007 0:00,10.2,10.8,20
2007,05.06.2007 12:00,12,11.2,20
2007,05.06.2007 18:00,16,12.8,20
2007,06.06.2007 0:00,13.2,7.6,22
2007,06.06.2007 12:00,18.2,11,21
2007,06.06.2007 20:40,13.1,9.3,21
2007,07.06.2007 0:00,9.4,9,21
2007,07.06.2007 12:00,16.6,10.2,20
2007,07.06.2007 18:00,18.4,10.2,20
2007,08.06.2007 0:00,9.4,10.2,20
2007,08.06.2007 12:00,12,9.4,20
2007,08.06.2007 18:00,10.4,10.6,21
2007,09.06.2007 0:00,7.2,10,20
2007,09.06.2007 12:00,9.4,10.4,20
2007,09.06.2007 18:00,10.6,9.4,21
2007,10.06.2007 0:00,9.4,9.8,20
2007,10.06.2007 12:00,10.6,10.6,20
2007,10.06.2007 18:00,11.8,9.2,22
2007,11.06.2007 0:00,9,9.6,21
2007,11.06.2007 12:00,9.6,9.6,20
2007,11.06.2007 18:00,10,10.2,20
2007,12.06.2007 0:00,9.4,9.8,20
2007,12.06.2007 12:00,10.2,9,21
2007,12.06.2007 18:00,11.2,10,21
2007,13.06.2007 0:00,7.8,7.2,23
2007,13.06.2007 12:00,8.6,8,22
2007,13.06.2007 18:00,11.6,9.8,21
2007,14.06.2007 0:00,7,8.2,22
2007,14.06.2007 12:00,8.6,8.9,22
2007,14.06.2007 18:00,11,11.2,22
2007,15.06.2007 0:00,6.2,9.4,22
2007,15.06.2007 12:00,11.2,9.2,24
2007,15.06.2007 18:00,13.4,9.2,23
2007,16.06.2007 0:00,7.4,7.2,23
2007,16.06.2007 12:00,9.4,8.7,23
2007,16.06.2007 18:00,9.7,9.6,25
2007,17.06.2007 0:00,9.2,9.1,26
2007,17.06.2007 12:00,9.7,8.8,24
2007,17.06.2007 18:00,13.8,11.2,24
2007,18.06.2007 0:00,10.3,9.6,25
2007,18.06.2007 12:00,12.4,9.2,24
2007,18.06.2007 18:00,15.2,10.1,22
2007,19.06.2007 0:00,8.7,10.1,21
2007,19.06.2007 12:00,10.8,9.7,22
2007,19.06.2007 18:00,10,11,23
2007,20.06.2007 0:00,10.4,9.6,23
2007,20.06.2007 12:00,7,9.2,25
2007,20.06.2007 18:00,7,9.6,22
2007,21.06.2007 0:00,6.4,8.6,23
2007,21.06.2007 12:00,9,8.3,22
2007,21.06.2007 18:00,NA,NA,NA
2007,22.06.2007 0:00,7.7,7.3,25
2007,22.06.2007 12:00,10.1,6.9,24
2007,22.06.2007 18:00,13.5,8.4,23
2007,23.06.2007 0:00,9.2,7,24
2007,23.06.2007 12:00,NA,NA,NA
2007,23.06.2007 18:00,NA,NA,NA
2007,24.06.2007 0:00,14.8,8.2,23
2007,24.06.2007 12:00,14.8,8.4,26
2007,24.06.2007 18:00,11,7.5,24
2007,25.06.2007 0:00,7.8,5.8,24
2007,25.06.2007 12:00,9,5.6,26
2007,25.06.2007 18:00,8.3,7.6,25
2007,26.06.2007 0:00,8.8,7.4,24
2007,26.06.2007 12:00,11,5.8,25
2007,26.06.2007 18:00,9,7,25
2007,27.06.2007 0:00,9,7.1,24
2007,27.06.2007 12:00,10.2,7,25
2007,27.06.2007 18:00,10,8.2,24
2007,28.06.2007 0:00,11.2,6.4,25
2007,28.06.2007 12:00,12.4,9.4,24
2007,28.06.2007 18:00,11.4,9,22
2007,29.06.2007 0:00,11.4,10.2,23
2007,29.06.2007 12:00,13.2,10.4,22
2007,29.06.2007 18:00,13.4,11.4,NA
2007,30.06.2007 0:00,12.4,13,22
2007,30.06.2007 12:00,15,11,23
2007,30.06.2007 18:00,15.4,12.4,21
2007,01.07.2007 0:00,13,11.2,21
2007,01.07.2007 12:00,13.8,12,20
2007,01.07.2007 18:00,19,11,21
2007,02.07.2007 0:00,14.8,13.6,20
2007,02.07.2007 12:00,21,14.8,19
2007,02.07.2007 18:00,22,17.8,23
2007,03.07.2007 0:00,16.6,15,17
2007,03.07.2007 12:00,14,12.2,21
2007,03.07.2007 18:00,13,12.4,19
2007,04.07.2007 0:00,11.2,12.6,23
2007,04.07.2007 12:00,13.8,12,21
2007,04.07.2007 18:00,14.2,13.2,19
2007,05.07.2007 0:00,13.8,12.2,12
2007,05.07.2007 6:00,11,11.4,11
2007,05.07.2007 12:00,18.2,13.6,15
2007,05.07.2007 18:00,21.6,14.4,15
2007,06.07.2007 0:00,14.8,14.6,14
2007,06.07.2007 6:00,12.2,13,16
2007,06.07.2007 12:00,13.2,12.4,17
2007,06.07.2007 19:00,11.1,11.2,18
2007,07.07.2007 0:00,10.8,10.2,14
2007,07.07.2007 6:00,10.5,10.2,18
2007,07.07.2007 12:00,10.8,10.5,19
2007,07.07.2007 18:00,11.4,10.8,16
2007,08.07.2007 0:00,10,10.2,19
2007,08.07.2007 6:00,8.8,10.2,17
2007,08.07.2007 12:00,8,9.8,18
2007,08.07.2007 18:00,8.8,9.4,20
2007,09.07.2007 0:00,8.4,8.2,22
2007,09.07.2007 6:00,8.2,8.2,22
2007,09.07.2007 12:00,8.8,8.6,21
2007,09.07.2007 18:00,9.3,9.2,20
2007,10.07.2007 0:00,9.8,8.9,21
2007,10.07.2007 6:00,9.8,8.8,20
2007,10.07.2007 12:00,12.2,9.8,22
2007,10.07.2007 18:00,13.6,10.6,17
2007,11.07.2007 0:00,11.6,10.6,15
2007,11.07.2007 6:00,11.6,10,17
2007,11.07.2007 12:00,16.8,9.8,18
2007,11.07.2007 18:00,16.4,13.2,15
2007,12.07.2007 0:00,17.2,13.2,15
2007,12.07.2007 6:00,15.4,11.4,15
2007,12.07.2007 12:00,13.6,12.2,15
2007,12.07.2007 18:00,13.6,12.6,15
2007,13.07.2007 0:00,12.8,11.8,16
2007,13.07.2007 6:00,12.6,11.2,17
2007,13.07.2007 12:00,17.4,12.8,17
2007,13.07.2007 18:00,16.4,13.4,16
2007,14.07.2007 0:00,14.2,12.9,17
2007,14.07.2007 6:00,14.4,12.9,17
2007,14.07.2007 12:00,23.2,16.3,16
2007,14.07.2007 18:00,20.3,16.3,16
2007,15.07.2007 0:00,15.6,14.1,17
2007,15.07.2007 6:00,14.1,13.2,17
2007,15.07.2007 12:00,16.2,13.6,17
2007,15.07.2007 18:00,15,13.8,17
2007,16.07.2007 0:00,16,14.1,17
2007,16.07.2007 6:00,9.6,7.8,17
2007,16.07.2007 12:00,14.6,12.4,18
2007,16.07.2007 18:00,19.8,14.8,16
2007,17.07.2007 0:00,14.2,14,17
2007,17.07.2007 6:00,12,10.4,15
2007,17.07.2007 12:00,15,14.8,17
2007,17.07.2007 18:00,17.6,14.8,19
2007,18.07.2007 0:00,12.1,14.3,18
2007,18.07.2007 6:00,11.2,14.4,17
2007,18.07.2007 12:00,13.2,14.3,18
2007,18.07.2007 18:00,13.4,14,16
2007,19.07.2007 0:00,14,13,16
2007,19.07.2007 6:00,12.8,11.8,18
2007,19.07.2007 12:00,15,13,19
2007,19.07.2007 18:00,14,12.2,20
2007,20.07.2007 0:00,9.4,11.8,19
2007,20.07.2007 6:00,8.8,11.4,18
2007,20.07.2007 12:00,12.8,11.6,18
2007,20.07.2007 18:00,12.9,12.4,17
2007,21.07.2007 0:00,10.4,12.2,17
2007,21.07.2007 6:00,12.8,11.8,16
2007,21.07.2007 12:00,13.1,13.9,15
2007,21.07.2007 18:00,13.5,14.1,15
2007,22.07.2007 0:00,12.5,13,15
2007,22.07.2007 6:00,10.2,11.6,17
2007,22.07.2007 12:00,15.2,12.6,16
2007,22.07.2007 18:00,16,14.8,14
2007,23.07.2007 0:00,12.6,13.4,15
2007,23.07.2007 6:00,8.6,12.2,NA
2007,23.07.2007 12:00,13.6,14,15
2007,23.07.2007 18:00,16.8,15.6,15
2007,24.07.2007 0:00,14.8,15,15
2007,24.07.2007 6:00,11.3,10.5,16
2007,24.07.2007 12:00,17.1,13.6,17
2007,24.07.2007 18:00,18.4,16.4,17
2007,25.07.2007 0:00,15.4,12.6,18
2007,25.07.2007 6:00,13.3,13.1,18
2007,25.07.2007 12:00,16,14.2,18
2007,25.07.2007 18:00,17.6,16.4,17
2007,26.07.2007 0:00,13.7,13.2,18
2007,26.07.2007 6:00,13.8,13.7,17
2007,26.07.2007 12:00,16.1,15.1,16
2007,26.07.2007 18:00,17,15.1,16
2007,27.07.2007 0:00,15.4,16.1,15
2007,27.07.2007 6:00,13.3,15.3,14
2007,27.07.2007 12:00,15.4,16,15
2007,27.07.2007 18:00,17.2,17.2,15
2007,28.07.2007 0:00,NA,NA,18
2007,28.07.2007 6:00,14.2,14.8,18
2007,28.07.2007 12:00,13.5,15.6,17
2007,28.07.2007 18:00,15.9,15.7,20
2007,29.07.2007 0:00,14.2,14.8,13
2007,29.07.2007 6:00,13.4,15.2,13
2007,29.07.2007 12:00,13.2,14.8,13
2007,29.07.2007 18:00,14,15.2,14
2007,30.07.2007 0:00,13.6,15,14
2007,30.07.2007 6:00,13,16,14
2007,30.07.2007 12:00,14.2,14.6,15
2007,30.07.2007 18:00,14.2,15.2,16
2007,31.07.2007 0:00,14.2,15.4,14
2007,31.07.2007 6:00,13.6,18.8,15
2007,31.07.2007 12:00,15.6,15.2,15
2007,31.07.2007 18:00,16.2,15.6,15
2007,01.08.2007 0:00,14,14.6,14
2007,01.08.2007 6:00,13.4,14.6,15
2007,01.08.2007 12:00,9.2,14.8,15
2007,01.08.2007 18:00,14.2,15.2,15
2007,02.08.2007 0:00,14.6,15.2,15
2007,02.08.2007 6:00,13.9,14.1,16
2007,02.08.2007 12:00,16.2,15,17
2007,02.08.2007 18:00,19,15,15
2007,03.08.2007 0:00,16,15.4,15
2007,03.08.2007 6:00,15.2,15.2,11
2007,03.08.2007 12:00,17.6,16.4,11
2007,03.08.2007 18:00,18.2,15.2,13
2007,04.08.2007 0:00,15.1,14.1,16
2007,04.08.2007 6:00,15.2,15.2,13
2007,04.08.2007 12:00,18,15,16
2007,04.08.2007 18:00,18.6,16.8,13
2007,05.08.2007 0:00,15,15.4,15
2007,05.08.2007 6:00,13.8,15.2,15
2007,05.08.2007 12:00,16.1,15.2,13
2007,05.08.2007 18:00,18,17.2,11
2007,06.08.2007 0:00,16.1,16.2,12
2007,06.08.2007 6:00,15,15.6,14
2007,06.08.2007 12:00,17.8,15.4,15
2007,06.08.2007 18:00,20.4,16.6,15
2007,07.08.2007 0:00,17.2,17,13
2007,07.08.2007 6:00,14.4,16,15
2007,07.08.2007 12:00,19.2,15.8,15
2007,07.08.2007 18:00,20,18.2,15
2007,08.08.2007 0:00,18,15,13
2007,08.08.2007 6:00,16.8,16.2,15
2007,08.08.2007 12:00,18.7,16.6,15
2007,08.08.2007 18:00,27.5,17.9,19
2007,09.08.2007 0:00,21.7,16.8,17
2007,09.08.2007 6:00,16,16,16
2007,09.08.2007 12:00,22.1,17.2,15
2007,09.08.2007 18:00,20.1,19.4,15
2007,10.08.2007 0:00,19.9,18.2,16
2007,10.08.2007 6:00,19.6,17.5,16
2007,10.08.2007 12:00,22,16.8,16
2007,10.08.2007 18:00,19.6,16.2,16
2007,11.08.2007 0:00,11.6,15.8,16
2007,11.08.2007 6:00,10,14.2,17
2007,11.08.2007 12:00,13.2,14.6,18
2007,11.08.2007 18:00,14.8,14.8,17
2007,12.08.2007 0:00,12,14.3,17
2007,12.08.2007 6:00,15,14.1,18
2007,12.08.2007 12:00,14.4,15,17
2007,12.08.2007 18:00,15,15,19
2007,13.08.2007 0:00,14.4,15,17
2007,13.08.2007 6:00,13.6,12.3,19
2007,13.08.2007 12:00,14.4,13.8,18
2007,13.08.2007 18:00,15.2,13.6,18
2007,14.08.2007 0:00,14.6,13.9,16
2007,14.08.2007 6:00,14.8,14,17
2007,14.08.2007 12:00,16.5,14.2,19
2007,14.08.2007 18:00,16,13.8,20
2007,15.08.2007 0:00,15.5,14.2,18
2007,15.08.2007 6:00,15.2,15.6,19
2007,15.08.2007 12:00,15.6,14.6,19
2007,15.08.2007 18:00,16.4,14.8,19
2007,16.08.2007 0:00,12.4,14.4,19
2007,16.08.2007 6:00,12.8,13.4,18
2007,16.08.2007 12:00,16.8,14.8,19
2007,16.08.2007 18:00,16.8,15.4,19
2007,17.08.2007 0:00,16.3,16.2,18
2007,17.08.2007 6:00,17.3,14.5,18
2007,17.08.2007 12:00,18.3,16,18
2007,17.08.2007 18:00,19,17,19
2007,18.08.2007 0:00,15.2,14.2,20
2007,18.08.2007 6:00,13.8,14,19
2007,18.08.2007 12:00,17,14.6,19
2007,18.08.2007 18:00,16.9,15,19
2007,19.08.2007 0:00,12.8,14.4,19
2007,19.08.2007 6:00,12,14.1,18
2007,19.08.2007 12:00,14.4,14.2,18
2007,19.08.2007 18:00,15.5,15,19
2007,20.08.2007 0:00,14.2,14,16
2007,20.08.2007 6:00,13.2,14.8,17
2007,20.08.2007 12:00,14.6,15,16
2008,23.05.2008 12:00,5.4,4.9,20
2008,23.05.2008 18:00,7.4,7.8,21
2008,24.05.2008 0:00,4.4,6.8,20
2008,24.05.2008 12:00,7.1,5,23
2008,24.05.2008 17:30,8.3,5.4,21
2008,25.05.2008 0:00,1.8,5,21
2008,25.05.2008 12:00,6.4,6.2,20
2008,25.05.2008 18:00,8.1,7.5,19
2008,26.05.2008 0:00,5.9,6,19
2008,26.05.2008 12:00,7.4,7.6,19
2008,26.05.2008 18:00,10,8.8,19
2008,27.05.2008 0:00,7.8,6.8,21
2008,27.05.2008 12:00,8.8,7,21
2008,27.05.2008 18:00,10.6,9.6,22
2008,28.05.2008 0:00,7.2,9.4,20
2008,28.05.2008 12:00,11.6,7.4,21
2008,28.05.2008 18:00,11.2,8.2,19
2008,29.05.2008 0:00,6.8,7.8,18
2008,29.05.2008 12:00,7,8.9,17
2008,29.05.2008 18:00,8.2,8.6,17
2008,30.05.2008 0:00,7.4,8.8,17
2008,30.05.2008 12:00,9.4,NA,19
2008,30.05.2008 18:00,11,8.5,20
2008,31.05.2008 0:00,7.4,6.9,18
2008,31.05.2008 12:00,9.6,8,18
2008,31.05.2008 18:00,11.4,9.8,18
2008,01.06.2008 0:00,9.2,9.2,19
2008,01.06.2008 12:00,12.1,9.9,19
2008,01.06.2008 18:00,14.2,10.4,18
2008,02.06.2008 0:00,11,8.6,18
2008,02.06.2008 12:00,13,9.4,19
2008,02.06.2008 18:00,15,8.8,20
2008,03.06.2008 0:00,9.4,7.6,21
2008,03.06.2008 12:00,10.1,8,21
2008,03.06.2008 18:00,10.6,10.1,20
2008,04.06.2008 0:00,6.6,8.1,19
2008,04.06.2008 12:00,10.2,8.1,19
2008,04.06.2008 18:00,12.6,9.2,18
2008,05.06.2008 0:00,7.4,7.5,19
2008,05.06.2008 12:00,9,9.2,18
2008,05.06.2008 18:00,10.6,7.9,20
2008,06.06.2008 0:00,7.2,6.1,21
2008,06.06.2008 12:00,7.1,6,22
2008,06.06.2008 18:00,8.4,6.4,22
2008,07.06.2008 0:00,4,4.6,23
2008,07.06.2008 12:00,6.2,3.4,25
2008,07.06.2008 18:00,10,5.6,22
2008,08.06.2008 0:00,6.8,6,22
2008,08.06.2008 12:00,4.3,4.4,23
2008,08.06.2008 18:00,6.6,5.4,23
2008,09.06.2008 0:00,3.8,4.4,24
2008,09.06.2008 12:00,6.6,4.9,23
2008,10.06.2008 0:00,4.6,4.2,24
2008,10.06.2008 12:00,6.5,5.2,22
2008,11.06.2008 0:00,5,6.6,21
2008,11.06.2008 12:00,3.2,6,20
2008,11.06.2008 18:00,5.8,4.8,21
2008,12.06.2008 0:00,5,4.6,22
2008,12.06.2008 12:00,5.8,4.8,23
2008,13.06.2008 0:00,7.4,5.6,22
2008,13.06.2008 12:00,6.2,5.6,21
2008,13.06.2008 18:00,8.6,6.2,21
2008,14.06.2008 0:00,7,7,18
2008,14.06.2008 12:00,8.4,7.6,18
2008,14.06.2008 18:00,9.8,10.2,18
2008,15.06.2008 0:00,9.8,7.8,20
2008,15.06.2008 12:00,11,9.1,21
2008,15.06.2008 18:00,10.4,10.8,20
2008,16.06.2008 0:00,9.4,9.2,20
2008,16.06.2008 12:00,13.4,9.8,18
2008,16.06.2008 18:00,11.8,12,19
2008,17.06.2008 0:00,10,10.1,22
2008,17.06.2008 12:00,17,10,20
2008,17.06.2008 18:00,16.5,13.6,19
2008,18.06.2008 0:00,15.5,12.8,17
2008,18.06.2008 6:00,11.2,15,20
2008,18.06.2008 12:00,13.7,15,17
2008,18.06.2008 18:00,15,15,19
2008,19.06.2008 0:00,12.8,11.1,NA
2008,19.06.2008 6:00,10.4,10.2,19
2008,19.06.2008 12:00,19.8,12.4,18
2008,19.06.2008 18:00,19.2,12,20
2008,20.06.2008 0:00,15.8,13.8,21
2008,20.06.2008 6:00,12.2,12.1,NA
2008,20.06.2008 12:00,13.4,14.5,NA
2008,20.06.2008 18:00,16,15.1,17
2008,21.06.2008 0:00,14.6,13.3,21
2008,21.06.2008 6:00,9.5,10.2,20
2008,21.06.2008 12:00,12,13.6,21
2008,21.06.2008 18:00,12.2,13,21
2008,22.06.2008 0:00,11,12.8,23
2008,22.06.2008 6:00,11,10.7,20
2008,22.06.2008 12:00,16,15.4,20
2008,22.06.2008 18:00,13.5,10.7,21
2008,23.06.2008 0:00,12.4,12.8,20
2008,23.06.2008 6:00,11.4,11.6,23
2008,23.06.2008 12:00,15.1,13.2,20
2008,23.06.2008 18:00,14,15,20
2008,24.06.2008 0:00,14.6,14.3,20
2008,24.06.2008 6:00,13.6,13.2,19
2008,24.06.2008 12:00,16.4,14.4,20
2008,24.06.2008 18:00,15,14,20
2008,25.06.2008 0:00,14.6,14.8,19
2008,25.06.2008 6:00,14.2,13,19
2008,25.06.2008 12:00,14.4,15,19
2008,25.06.2008 18:00,15.2,14.8,18
2008,26.06.2008 0:00,13.6,12.2,20
2008,26.06.2008 6:00,13.5,12.2,20
2008,26.06.2008 12:00,15,13.6,19
2008,26.06.2008 18:00,12,13.8,16
2008,27.06.2008 0:00,13.8,11.2,15
2008,27.06.2008 6:00,10,10.4,12
2008,27.06.2008 12:00,13.8,12.4,15
2008,27.06.2008 18:00,14.4,13.2,15
2008,28.06.2008 0:00,10.4,11.8,20
2008,28.06.2008 6:00,11,12.4,NA
2008,28.06.2008 12:00,NA,NA,18
2008,28.06.2008 18:00,15,14.2,18
2008,29.06.2008 0:00,13,13.2,16
2008,29.06.2008 6:00,12.5,13.5,15
2008,29.06.2008 12:00,14.6,14,16
2008,29.06.2008 18:00,NA,NA,15
2008,30.06.2008 0:00,13.2,14.8,17
2008,30.06.2008 6:00,10.7,10.1,18
2008,30.06.2008 12:00,18,15.3,15
2008,30.06.2008 18:00,18,17.3,15
2008,01.07.2008 0:00,14.2,14.8,17
2008,01.07.2008 6:00,14,15.4,17
2008,01.07.2008 12:00,16.6,16.3,18
2008,01.07.2008 18:00,17.9,17.2,20
2008,02.07.2008 0:00,14.8,15.1,NA
2008,02.07.2008 12:00,19.2,16.9,NA
2008,03.07.2008 0:00,17.6,16.8,19
2008,03.07.2008 6:00,14.7,15.8,20
2008,03.07.2008 12:00,21.4,15.2,20
2008,03.07.2008 18:00,24.5,17.5,18
2008,04.07.2008 0:00,13.5,15.3,17
2008,04.07.2008 6:00,13,15.8,14
2008,04.07.2008 12:00,12.8,15.6,15
2008,04.07.2008 18:00,12.8,14.6,17
2008,05.07.2008 0:00,8.6,13.8,17
2008,05.07.2008 6:00,7.2,13,16
2008,05.07.2008 12:00,11,12.8,18
2008,05.07.2008 18:00,9.8,12.6,17
2008,06.07.2008 0:00,NA,NA,18
2008,06.07.2008 6:00,7.4,10.9,18
2008,06.07.2008 12:00,8,10,19
2008,06.07.2008 18:00,NA,NA,18
2008,07.07.2008 0:00,NA,NA,20
2008,07.07.2008 6:00,NA,NA,20
2008,07.07.2008 12:00,NA,NA,20
2008,07.07.2008 18:00,NA,NA,20
2008,08.07.2008 0:00,4.2,6.8,23
2008,08.07.2008 6:00,5,6.9,22
2008,08.07.2008 12:00,7.8,6.4,20
2008,08.07.2008 18:40,7.6,6.2,23
2008,09.07.2008 0:00,5.8,6.4,22
2008,09.07.2008 6:00,7,6.8,22
2008,09.07.2008 12:00,9.8,7.4,21
2008,09.07.2008 18:00,10.3,7.3,22
2008,10.07.2008 0:00,9.2,NA,21
2008,10.07.2008 6:00,9,5.9,21
2008,10.07.2008 12:00,9.1,5.9,21
2008,10.07.2008 18:00,10.3,7.7,22
2008,11.07.2008 0:00,9,7.3,22
2008,11.07.2008 6:00,8.2,6.6,22
2008,11.07.2008 12:00,10.5,7.6,22
2008,11.07.2008 18:00,10.2,8,22
2008,12.07.2008 0:00,10.2,9,22
2008,12.07.2008 6:00,9.8,8.8,21
2008,12.07.2008 12:00,10,8.6,21
2008,12.07.2008 18:00,10.6,9.4,20
2008,13.07.2008 0:00,6.6,8.8,13
2008,13.07.2008 6:00,9.2,9.4,20
2008,13.07.2008 12:00,12.6,9.8,20
2008,13.07.2008 18:00,14,12.8,20
2008,14.07.2008 0:00,12.8,12.6,20
2008,14.07.2008 6:00,12,10.3,20
2008,14.07.2008 12:00,15.8,12,19
2008,15.07.2008 0:00,12.6,13.8,20
2008,15.07.2008 6:00,10.8,12.6,19
2008,15.07.2008 12:00,16.5,13.6,17
2008,15.07.2008 18:00,16.3,15.9,16
2008,16.07.2008 0:00,14.3,14.4,17
2008,16.07.2008 6:00,13,12.3,16
2008,16.07.2008 12:00,18,15,16
2008,16.07.2008 18:00,16,15.4,16
2008,17.07.2008 0:00,15.2,14.7,17
2008,17.07.2008 6:00,15,13,19
2008,17.07.2008 12:00,17.4,15.4,17
2008,17.07.2008 18:00,17.2,16,17
2008,18.07.2008 0:00,15.2,14.8,18
2008,18.07.2008 6:00,15.8,14,18
2008,18.07.2008 12:00,15.5,15.4,17
2008,18.07.2008 18:00,17.6,13.6,19
2008,19.07.2008 0:00,14.3,14.3,18
2008,19.07.2008 6:00,11.8,14.1,17
2008,19.07.2008 12:00,17.2,15.3,15
2008,19.07.2008 18:00,27,15,17
2008,20.07.2008 0:00,16.6,16.4,16
2008,20.07.2008 6:00,12.2,15.4,17
2008,20.07.2008 12:00,18.8,16.8,17
2008,20.07.2008 18:00,19.6,16.8,17
2008,21.07.2008 0:00,19.6,15.8,17
2008,21.07.2008 6:00,16.1,15.7,16
2008,21.07.2008 12:00,17.6,16.4,16
2008,21.07.2008 18:00,18.3,16.2,17
2008,22.07.2008 0:00,17.2,17,17
2008,22.07.2008 6:00,15.9,15.8,17
2008,22.07.2008 12:00,18.1,16.4,17
2008,22.07.2008 18:00,17.5,16.4,17
2008,23.07.2008 0:00,16.6,16.4,16
2008,23.07.2008 6:00,16,15.8,16
2008,23.07.2008 12:00,17.4,16.9,16
2008,23.07.2008 18:00,16.8,16.8,16
2008,24.07.2008 0:00,12.1,14.4,18
2008,24.07.2008 6:00,11.3,14.7,16
2008,24.07.2008 12:00,18,14.2,16
2008,24.07.2008 18:00,18.2,15,16
2008,25.07.2008 0:00,14.8,14.9,17
2008,25.07.2008 6:00,12.3,14,17
2008,25.07.2008 12:00,14.9,14.7,17
2008,25.07.2008 18:00,15.7,14.9,18
2008,26.07.2008 0:00,13.6,14.8,17
2008,26.07.2008 6:00,13,14.8,18
2008,26.07.2008 12:00,15.2,14.9,18
2008,26.07.2008 18:00,14.3,13.8,18
2008,27.07.2008 0:00,11,13.7,17
2008,27.07.2008 6:00,8,10.8,17
2008,27.07.2008 12:00,10.2,10.4,19
2008,27.07.2008 18:00,13,11,19
2008,28.07.2008 0:00,9.6,10.4,19
2008,28.07.2008 6:00,8.6,9.3,20
2008,28.07.2008 12:00,11.5,9.6,20
2008,28.07.2008 18:00,14.6,9.5,20
2008,29.07.2008 0:00,9.7,9.1,20
2008,29.07.2008 6:00,8.6,9.3,21
2008,29.07.2008 12:00,12.4,9.4,21
2008,29.07.2008 18:00,14.6,9.4,22
2008,30.07.2008 0:00,8.8,10.4,20
2008,30.07.2008 6:00,15.2,9.9,20
2008,30.07.2008 12:00,13.6,11.1,21
2008,30.07.2008 18:00,16.2,13,20
2008,31.07.2008 0:00,13.2,11.6,19
2008,31.07.2008 6:00,12,10.8,20
2008,31.07.2008 12:00,11.8,9.5,21
2008,31.07.2008 18:00,12.9,10,21
2008,01.08.2008 0:00,9.2,8.8,22
2008,01.08.2008 6:00,8.1,8.3,22
2008,01.08.2008 12:00,11,8.1,23
2008,01.08.2008 18:00,10.6,7,22
2008,02.08.2008 0:00,8,7,23
2008,02.08.2008 6:00,6.8,7.6,23
2008,02.08.2008 12:00,11,8.2,23
2008,02.08.2008 18:00,10,7.5,23
2008,03.08.2008 0:00,8,5.2,24
2008,03.08.2008 6:00,6,6.6,23
2008,03.08.2008 12:00,11,7.2,23
2008,03.08.2008 18:00,12,7.4,23
2008,04.08.2008 0:00,8.4,6,24
2008,04.08.2008 6:00,7.8,6,24
2008,04.08.2008 12:00,10.2,5.6,24
2008,04.08.2008 18:00,11,6.6,24
2008,05.08.2008 0:00,15,NA,25
2008,05.08.2008 6:00,7.9,5.4,25
2008,05.08.2008 12:00,11.2,5.4,25
2008,05.08.2008 18:00,10.6,7,24
2008,06.08.2008 0:00,6.4,7.2,25
2008,06.08.2008 6:00,3.2,3.8,25
2008,06.08.2008 12:00,9.6,5,24
2008,06.08.2008 18:00,12.6,5.4,25
2008,07.08.2008 0:00,10.2,5.8,24
2008,07.08.2008 6:00,8.4,5.8,24
2008,07.08.2008 12:00,11.8,7,24
2008,07.08.2008 18:00,13.2,7.6,24
2008,08.08.2008 0:00,9.2,6,24
2008,08.08.2008 6:00,14.7,5,24
2008,08.08.2008 12:00,11,7,24
2008,08.08.2008 18:00,12,6.9,24
2008,09.08.2008 0:00,NA,NA,23
2008,09.08.2008 6:00,11,6.8,24
2008,09.08.2008 12:00,11.9,6.9,24
2008,09.08.2008 18:00,11,7,23
2008,10.08.2008 0:00,7.8,7,NA
2008,10.08.2008 6:00,9,8,NA
2008,10.08.2008 12:00,10.2,6.8,NA
2008,10.08.2008 18:00,12.4,8.1,NA
2008,11.08.2008 0:00,9.4,10.2,23
2008,11.08.2008 6:00,NA,NA,22
2008,11.08.2008 12:30,10.2,8.8,20
2008,11.08.2008 18:00,10.2,10,19
2008,12.08.2008 0:00,NA,NA,20
2008,12.08.2008 6:00,9,9.5,19
2008,12.08.2008 12:00,10,8.2,22
2008,12.08.2008 18:00,10.6,7.2,22
2008,13.08.2008 0:00,10,7.8,22
2008,13.08.2008 6:00,15,7.6,22
2008,13.08.2008 12:00,11,5.8,21
2008,13.08.2008 18:00,11,11,21
2008,14.08.2008 0:00,13,11,22
2008,14.08.2008 6:00,10,10.6,20
2008,14.08.2008 12:00,16,9.8,21
2008,14.08.2008 18:00,16.2,11.2,22
2008,15.08.2008 0:00,15.1,9.6,23
2008,15.08.2008 6:00,14,8.1,24
2008,15.08.2008 12:00,15,10.6,24
2008,15.08.2008 18:00,14.2,10.4,22
2008,16.08.2008 0:00,10.4,9.4,22
2008,16.08.2008 6:00,16.2,NA,19
2008,16.08.2008 12:00,12,13,19
2008,16.08.2008 18:00,11,11.4,20
2008,17.08.2008 0:00,9.8,11.6,19
2008,17.08.2008 6:00,10,9.4,22
2008,17.08.2008 12:00,23,10,20
2008,17.08.2008 18:00,13.4,10.8,21
